T,mean_F_sig0,sem_F_sig0
0.1,2.987291762543376e-05,2.9691743525967525e-06
0.2,2.209990784099029e-05,1.9667861943784777e-06
0.3,1.6232919007216745e-05,1.9133942504410173e-06
0.4,1.3467397339535765e-05,1.1949397848224996e-06
0.5,1.758057281737983e-05,2.0360105493763042e-06
0.6,1.648621412312747e-05,1.6757844283788719e-06
0.7,1.4466678334144751e-05,1.5326187578599823e-06
0.7999999999999999,1.4818353169941938e-05,1.7138078791603693e-06
0.8999999999999999,1.4342789748877488e-05,1.75714472162782e-06
0.9999999999999999,1.2524373233811852e-05,1.6969963472346468e-06
1.0999999999999999,1.267518831111764e-05,9.72235399707086e-07
1.2,1.0613640598744523e-05,1.2319636938119922e-06
1.3,1.3117438796924575e-05,1.6001350090842643e-06
1.4,1.0890954994591168e-05,1.239243785723707e-06
1.5,9.488540616693838e-06,1.347066911874208e-06
1.5999999999999999,1.1087980694630376e-05,1.38026320955155e-06
1.7,1.1037360753936346e-05,1.1266857331296945e-06
1.8,1.2706352296514687e-05,1.8545648310200393e-06
1.9,1.0393338058470068e-05,1.3860914102288697e-06
2.0,1.2628264328543623e-05,1.5455989023329383e-06
